Date_x,2y TIPS,5y TIPS,10y TIPS,30y TIPS,1 Month Bills,3 Month Bills,6 Month Bills,12 Month Bills,2 Year Note,3 Year Note,5 Year Note,7 Year Note,10 Year Note,20 Year Bond,30 Year Bond,SVB_Asset,SVB_STDebt,QuarterYear,Date_y,SVB ST And LT Investments,SVB Held to Maturity/Amortized at Cost,SVB Total Assets,SVB Total Deposits,SVB ST Borrowings & Repos,SVB LT Debt,SVB Total Liabilities,BOFA ST And LT Investments,BOFA Held to Maturity/Amortized at Cost,BOFA Total Assets,BOFA ST Borrowings & Repos,BOFA LT Debt,BOFA Total Liabilities,CITI ST And LT Investments,CITI Held to Maturity/Amortized at Cost,CITI Total Assets,CITI ST Borrowings & Repos,CITI LT Debt,CITI Total Liabilities,FRCB ST And LT Investments,FRCB Held to Maturity/Amortized at Cost,FRCB Total Assets,FRCB ST Borrowings & Repos,FRCB LT Debt,FRCB Total Liabilities,GS ST And LT Investments,GS Held to Maturity/Amortized at Cost,GS Total Assets,GS ST Borrowings & Repos,GS LT Debt,GS Total Liabilities,JPM ST And LT Investments,JPM Held to Maturity/Amortized at Cost,JPM Total Assets,JPM ST Borrowings & Repos,JPM LT Debt,JPM Total Liabilities,MS ST And LT Investments,MS Held to Maturity/Amortized at Cost,MS Total Assets,MS ST Borrowings & Repos,MS LT Debt,MS Total Liabilities
2022-12-01,2.157573,1.638468623,1.567160368,1.654441476,3.976397991,4.342877388,4.753239632,4.686757565,4.425798416,4.224168777,4.003858089,3.965277433,3.874789476,4.14377594,3.962996721,,,Q4 2022,Q4 2022,120054000,91321000,211793000,173109000,13650000,5698000,195498000,1158927000,632825000,3051375000,304964000,284343000,2778178000,785390000.0,268863000,2416676000.0,430193000.0,273978000.0,2214838000.0,31719000,28348000,212639000,6884000,9947000,195193000,372461000.0,51662000,1441799000.0,352897000.0,248967000.0,1324610000.0,1014081000,425305000,3665743000.0,375047000.0,315086000.0,3373411000.0,417034000.0,75634000,1180231000.0,203544000.0,242089000.0,1079000000.0
2022-11-01,1.801263,1.292867661,1.235574365,1.373047471,3.922003031,4.319564819,4.650135994,4.686301708,4.310209274,4.049203396,3.736707687,3.675862789,3.605422497,3.927134752,3.735945463,,,Q4 2022,Q4 2022,120054000,91321000,211793000,173109000,13650000,5698000,195498000,1158927000,632825000,3051375000,304964000,284343000,2778178000,785390000.0,268863000,2416676000.0,430193000.0,273978000.0,2214838000.0,31719000,28348000,212639000,6884000,9947000,195193000,372461000.0,51662000,1441799000.0,352897000.0,248967000.0,1324610000.0,1014081000,425305000,3665743000.0,375047000.0,315086000.0,3373411000.0,417034000.0,75634000,1180231000.0,203544000.0,242089000.0,1079000000.0
2022-10-01,1.605566,1.564068556,1.530935645,1.651615024,3.596527815,4.055928707,4.535924435,4.601874352,4.48238802,4.440351963,4.22826767,4.142715931,4.047808647,4.403814316,4.163863182,,,Q4 2022,Q4 2022,120054000,91321000,211793000,173109000,13650000,5698000,195498000,1158927000,632825000,3051375000,304964000,284343000,2778178000,785390000.0,268863000,2416676000.0,430193000.0,273978000.0,2214838000.0,31719000,28348000,212639000,6884000,9947000,195193000,372461000.0,51662000,1441799000.0,352897000.0,248967000.0,1324610000.0,1014081000,425305000,3665743000.0,375047000.0,315086000.0,3373411000.0,417034000.0,75634000,1180231000.0,203544000.0,242089000.0,1079000000.0
2022-09-01,2.368748,1.975174308,1.668486834,1.719737649,2.636553526,3.246562004,3.902861595,3.932801485,4.278743744,4.288109779,4.090001106,3.980819702,3.828631401,4.088145733,3.775893211,,,Q3 2022,Q3 2022,122592000,93286000,212867000,176819000,13552000,3797000,197057000,1173416000,643713000,3072953000,321439000,269122000,2803429000,768592000.0,267864000,2381064000.0,462520000.0,256186000.0,2181947000.0,31617000,28247000,205109000,0,13827000,187990000,430817000.0,48549000,1555994000.0,431977000.0,241946000.0,1436704000.0,1032199000,430106000,3773884000.0,420980000.0,307786000.0,3485866000.0,404195000.0,77636000,1160029000.0,177321000.0,220423000.0,1057940000.0
2022-08-01,1.075405,0.755917192,0.706255913,0.983827114,2.221391439,2.900265217,3.331845284,3.482836962,3.492941618,3.514864206,3.350828171,3.306401014,3.192634106,3.567631245,3.292622328,,,Q3 2022,Q3 2022,122592000,93286000,212867000,176819000,13552000,3797000,197057000,1173416000,643713000,3072953000,321439000,269122000,2803429000,768592000.0,267864000,2381064000.0,462520000.0,256186000.0,2181947000.0,31617000,28247000,205109000,0,13827000,187990000,430817000.0,48549000,1555994000.0,431977000.0,241946000.0,1436704000.0,1032199000,430106000,3773884000.0,420980000.0,307786000.0,3485866000.0,404195000.0,77636000,1160029000.0,177321000.0,220423000.0,1057940000.0
2022-07-01,-0.3490057,-0.119985782,0.093406551,0.717341244,2.122601509,2.316786051,2.837049961,2.887000322,2.884446621,2.805474997,2.676041603,2.679194689,2.648717403,3.214363813,3.009733677,,,Q3 2022,Q3 2022,122592000,93286000,212867000,176819000,13552000,3797000,197057000,1173416000,643713000,3072953000,321439000,269122000,2803429000,768592000.0,267864000,2381064000.0,462520000.0,256186000.0,2181947000.0,31617000,28247000,205109000,0,13827000,187990000,430817000.0,48549000,1555994000.0,431977000.0,241946000.0,1436704000.0,1032199000,430106000,3773884000.0,420980000.0,307786000.0,3485866000.0,404195000.0,77636000,1160029000.0,177321000.0,220423000.0,1057940000.0
2022-06-01,-0.360763,0.42022416,0.662554145,0.983134747,0.946064055,1.62618196,2.457860708,2.742381096,2.953315258,3.008219242,3.037880898,3.06761694,3.012875795,3.434251785,3.182724953,,,Q2 2022,Q2 2022,124682000,95814000,214389000,187945000,3703000,3744000,198113000,1226937000,658245000,3111606000,329495000,275697000,2842488000,772868000.0,267592000,2380904000.0,452696000.0,260425000.0,2181278000.0,31171000,27710000,197908000,0,13816000,181482000,410357000.0,36089000,1601224000.0,477615000.0,252436000.0,1483353000.0,1047978000,441649000,3841314000.0,419032000.0,307178000.0,3555171000.0,389248000.0,79477000,1173776000.0,202969000.0,226177000.0,1071114000.0
2022-05-01,-1.388561,-0.135450244,0.191408724,0.65887326,0.702482879,1.03921032,1.555288196,2.05010891,2.556499243,2.724787235,2.817301989,2.869059324,2.844072342,3.253136873,3.045121431,,,Q2 2022,Q2 2022,124682000,95814000,214389000,187945000,3703000,3744000,198113000,1226937000,658245000,3111606000,329495000,275697000,2842488000,772868000.0,267592000,2380904000.0,452696000.0,260425000.0,2181278000.0,31171000,27710000,197908000,0,13816000,181482000,410357000.0,36089000,1601224000.0,477615000.0,252436000.0,1483353000.0,1047978000,441649000,3841314000.0,419032000.0,307178000.0,3555171000.0,389248000.0,79477000,1173776000.0,202969000.0,226177000.0,1071114000.0
2022-04-01,-1.681701,-0.403784126,-0.00777976,0.403596938,0.296632409,0.822860777,1.395931959,2.058110714,2.714624643,2.885895729,2.954947233,2.977115154,2.933560848,3.207125664,2.997224331,,,Q2 2022,Q2 2022,124682000,95814000,214389000,187945000,3703000,3744000,198113000,1226937000,658245000,3111606000,329495000,275697000,2842488000,772868000.0,267592000,2380904000.0,452696000.0,260425000.0,2181278000.0,31171000,27710000,197908000,0,13816000,181482000,410357000.0,36089000,1601224000.0,477615000.0,252436000.0,1483353000.0,1047978000,441649000,3841314000.0,419032000.0,307178000.0,3555171000.0,389248000.0,79477000,1173776000.0,202969000.0,226177000.0,1071114000.0
2022-03-01,-2.146487,-0.919380546,-0.493428349,0.002826949,0.109001212,0.482169837,1.008771181,1.595020413,2.334533691,2.511816978,2.459887266,2.428709745,2.337952375,2.599486589,2.447619915,,,Q1 2022,Q1 2022,127303000,98707000,220355000,198134000,99000,2945000,203995000,1283280000,672180000,3238223000,356596000,278710000,2971606000,793610000.0,242547000,2394105000.0,446919000.0,257054000.0,2195752000.0,30302000,26831000,187121000,0,6974000,170967000,401586000.0,10586000,1589441000.0,455174000.0,260412000.0,1474202000.0,1117352000,366585000,3954687000.0,425724000.0,311732000.0,3668788000.0,409793000.0,80439000,1222233000.0,222505000.0,229817000.0,1118158000.0
