Date,SVB ST And LT Investments,SVB Held to Maturity/Amortized at Cost,SVB Total Assets,SVB Total Deposits,SVB ST Borrowings & Repos,SVB LT Debt,SVB Total Liabilities,BOFA ST And LT Investments,BOFA Held to Maturity/Amortized at Cost,BOFA Total Assets,BOFA ST Borrowings & Repos,BOFA LT Debt,BOFA Total Liabilities,CITI ST And LT Investments,CITI Held to Maturity/Amortized at Cost,CITI Total Assets,CITI ST Borrowings & Repos,CITI LT Debt,CITI Total Liabilities,FRCB ST And LT Investments,FRCB Held to Maturity/Amortized at Cost,FRCB Total Assets,FRCB ST Borrowings & Repos,FRCB LT Debt,FRCB Total Liabilities,GS ST And LT Investments,GS Held to Maturity/Amortized at Cost,GS Total Assets,GS ST Borrowings & Repos,GS LT Debt,GS Total Liabilities,JPM ST And LT Investments,JPM Held to Maturity/Amortized at Cost,JPM Total Assets,JPM ST Borrowings & Repos,JPM LT Debt,JPM Total Liabilities,MS ST And LT Investments,MS Held to Maturity/Amortized at Cost,MS Total Assets,MS ST Borrowings & Repos,MS LT Debt,MS Total Liabilities
Q4 2022,120054000,91321000,211793000,173109000,13650000,5698000,195498000,1158927000,632825000,3051375000,304964000,284343000,2778178000,785390000,268863000,2416676000,430193000,273978000,2214838000,31719000,28348000,212639000,6884000,9947000,195193000,372461000,51662000,1441799000,352897000,248967000,1324610000,1014081000,425305000,3665743000,375047000,315086000,3373411000,417034000,75634000,1180231000,203544000,242089000,1079000000
Q3 2022,122592000,93286000,212867000,176819000,13552000,3797000,197057000,1173416000,643713000,3072953000,321439000,269122000,2803429000,768592000,267864000,2381064000,462520000,256186000,2181947000,31617000,28247000,205109000,0,13827000,187990000,430817000,48549000,1555994000,431977000,241946000,1436704000,1032199000,430106000,3773884000,420980000,307786000,3485866000,404195000,77636000,1160029000,177321000,220423000,1057940000
Q2 2022,124682000,95814000,214389000,187945000,3703000,3744000,198113000,1226937000,658245000,3111606000,329495000,275697000,2842488000,772868000,267592000,2380904000,452696000,260425000,2181278000,31171000,27710000,197908000,0,13816000,181482000,410357000,36089000,1601224000,477615000,252436000,1483353000,1047978000,441649000,3841314000,419032000,307178000,3555171000,389248000,79477000,1173776000,202969000,226177000,1071114000
Q1 2022,127303000,98707000,220355000,198134000,99000,2945000,203995000,1283280000,672180000,3238223000,356596000,278710000,2971606000,793610000,242547000,2394105000,446919000,257054000,2195752000,30302000,26831000,187121000,0,6974000,170967000,401586000,10586000,1589441000,455174000,260412000,1474202000,1117352000,366585000,3954687000,425724000,311732000,3668788000,409793000,80439000,1222233000,222505000,229817000,1118158000
Q4 2021,127959000,98195000,211308000,189203000,148000,2881000,194699000,1229707000,674554000,3128528000,318689000,289058000,2858462000,774991000,216963000,2291413000,387464000,256727000,2088741000,25701000,22292000,181087000,164000,6718000,165189000,400675000,—,1463988000,407663000,256075000,1354062000,1048726000,363707000,3743567000,364083000,318511000,3449440000,443299000,80168000,1188140000,205588000,237398000,1081542000
Q3 2021,107834000,82365000,190996000,171182000,97000,2315000,176327000,1257183000,683240000,3085446000,339923000,278621000,2812982000,765750000,198056000,2361876000,415819000,261274000,2160266000,24184790,21192537,172570503,0,10905338,157768709,408123000,—,1443230000,428382000,244992000,1336933000,1043125000,343542000,3757576000,427949000,319984000,3467535000,187787000,81837000,1190476000,214635000,229762000,1083357000
Q2 2021,85811000,59992000,163399000,145838000,34000,2111000,151432000,1232047000,651401000,3029894000,345506000,274604000,2752775000,784398000,176742000,2327868000,426496000,267575000,2124958000,22900831,20236298,161646734,0,12191327,148372007,400292000,—,1387922000,429783000,241059000,1286032000,1023514000,341476000,3684256000,421855000,322615000,3397870000,455532000,82120000,1161805000,209434000,224142000,1053643000
Q1 2021,69008852,41164620,142346620,124150106,38434,1625596,132225841,1133793000,576000000,2970028000,323955000,251211000,2696028000,765788000,161742000,2314266000,430881000,259435000,2110993000,21682388,19232334,155797960,0,13680318,142856230,392691000,—,1301548000,401904000,221127000,1203884000,1068327000,217452000,3689336000,489906000,303519000,3408622000,461514000,83918000,1158772000,218344000,215826000,1051184000
Q4 2020,49306826,16592153,115511007,101981807,72100,1051635,107077516,883704000,438249000,2819627000,262891000,271481000,2546703000,745477000,104943000,2260090000,380384000,273983000,2059890000,18530191,16603310,142502134,137216,14387357,130751488,412494000,—,1163028000,322295000,215422000,1067096000,1017681000,201821000,3384757000,361581000,306165000,3105403000,457042000,71771000,1115862000,187715000,221565000,1012713000
Q3 2020,40433910,12982223,96916771,84773020,31850,1077300,88949391,839897000,338400000,2738452000,293311000,255723000,2469602000,728465000,96065000,2234459000,388950000,276354000,2039864000,18655386,16923706,133225771,5000,16248577,121881162,424672000,—,1132059000,292898000,220325000,1039409000,960332000,141553000,3246076000,383267000,306701000,2974963000,389431000,46169000,955940000,171009000,203444000,866122000
