Date,Open,High,Low,Close,Adj Close,Volume
1987-10-26,0.751429,0.843530,0.751429,0.751429,0.740237,5834
1987-10-27,0.751429,0.843530,0.751429,0.751429,0.740237,23337
1987-10-28,null,null,null,null,null,null
1987-10-29,0.751429,0.843530,0.751429,0.751429,0.740237,14586
1987-10-30,0.751429,0.843530,0.751429,0.751429,0.740237,21879
1987-11-02,0.722997,0.772647,0.722997,0.722997,0.712229,10210
1987-11-03,0.722997,0.772647,0.722997,0.722997,0.712229,5834
1987-11-04,0.701772,0.751429,0.701772,0.701772,0.691320,2917
1987-11-05,0.701772,0.751429,0.701772,0.701772,0.691320,2917
1987-11-06,null,null,null,null,null,null
1987-11-09,0.687655,0.737209,0.687655,0.687655,0.677413,5834
1987-11-10,0.687655,0.737209,0.687655,0.687655,0.677413,2917
1987-11-11,null,null,null,null,null,null
1987-11-12,0.687655,0.737209,0.687655,0.687655,0.677413,1458
1987-11-13,0.687655,0.737209,0.687655,0.687655,0.677413,2917
1987-11-16,0.687655,0.737209,0.687655,0.687655,0.677413,5834
1987-11-17,null,null,null,null,null,null
1987-11-18,null,null,null,null,null,null
1987-11-19,0.687655,0.687655,0.687655,0.687655,0.677413,24796
1987-11-20,0.687655,0.687655,0.687655,0.687655,0.677413,2917
1987-11-23,0.730100,0.730100,0.722997,0.730100,0.719226,21879
1987-11-24,null,null,null,null,null,null
1987-11-25,0.687655,0.687655,0.687655,0.687655,0.677413,14586
1987-11-27,null,null,null,null,null,null
1987-11-30,null,null,null,null,null,null
1987-12-01,0.737209,0.737209,0.737209,0.737209,0.726229,1458
1987-12-02,0.687655,0.687655,0.687655,0.687655,0.677413,17503
1987-12-03,null,null,null,null,null,null
1987-12-04,null,null,null,null,null,null
1987-12-07,0.722997,0.722997,0.722997,0.722997,0.712229,17503
1987-12-08,null,null,null,null,null,null
1987-12-09,0.722997,0.737209,0.722997,0.722997,0.712229,14586
1987-12-10,null,null,null,null,null,null
1987-12-11,null,null,null,null,null,null
1987-12-14,0.715984,0.715984,0.687655,0.715984,0.705320,36465
1987-12-15,null,null,null,null,null,null
1987-12-16,0.722997,0.722997,0.701772,0.722997,0.712229,121064
1987-12-17,0.730100,0.730100,0.730100,0.730100,0.719226,2917
1987-12-18,null,null,null,null,null,null
1987-12-21,0.744319,0.744319,0.701772,0.744319,0.733233,45216
1987-12-22,0.744319,0.744319,0.744319,0.744319,0.733233,14586
1987-12-23,0.737209,0.737209,0.701772,0.737209,0.726229,17503
1987-12-24,null,null,null,null,null,null
1987-12-28,null,null,null,null,null,null
1987-12-29,null,null,null,null,null,null
1987-12-30,null,null,null,null,null,null
1987-12-31,0.744319,0.744319,0.744319,0.744319,0.733233,2917
1988-01-04,null,null,null,null,null,null
1988-01-05,null,null,null,null,null,null
1988-01-06,0.751429,0.751429,0.722997,0.751429,0.740237,43758
1988-01-07,0.751429,0.751429,0.722997,0.751429,0.740237,32089
1988-01-08,0.843530,0.843530,0.822304,0.843530,0.830966,10210
1988-01-11,0.822304,0.822304,0.822304,0.822304,0.810057,1458
1988-01-12,0.808085,0.808085,0.751429,0.808085,0.796050,14586
1988-01-13,null,null,null,null,null,null
1988-01-14,0.808085,0.808085,0.737209,0.808085,0.796050,35006
1988-01-15,null,null,null,null,null,null
1988-01-18,null,null,null,null,null,null
1988-01-19,null,null,null,null,null,null
1988-01-20,0.808085,0.808085,0.808085,0.808085,0.796050,5834
1988-01-21,0.843530,0.843530,0.843530,0.843530,0.830966,1458
1988-01-22,null,null,null,null,null,null
1988-01-25,0.843530,0.843530,0.843530,0.843530,0.830966,2917
1988-01-26,null,null,null,null,null,null
1988-01-27,0.822304,0.822304,0.822304,0.822304,0.810057,1458
1988-01-28,null,null,null,null,null,null
1988-01-29,null,null,null,null,null,null
1988-02-01,null,null,null,null,null,null
1988-02-02,null,null,null,null,null,null
1988-02-03,0.822304,0.822304,0.772647,0.822304,0.810057,7293
1988-02-04,null,null,null,null,null,null
1988-02-05,0.751429,0.772647,0.751429,0.751429,0.740237,23337
1988-02-08,null,null,null,null,null,null
1988-02-09,null,null,null,null,null,null
1988-02-10,null,null,null,null,null,null
1988-02-11,0.737209,0.808085,0.737209,0.737209,0.726229,29172
1988-02-12,0.751429,0.808085,0.737209,0.751429,0.740237,51051
1988-02-16,null,null,null,null,null,null
1988-02-17,0.737209,0.772647,0.737209,0.737209,0.726229,17503
1988-02-18,0.772647,0.772647,0.737209,0.772647,0.761139,7293
1988-02-19,0.808085,0.808085,0.737209,0.808085,0.796050,5834
1988-02-22,0.808085,0.808085,0.808085,0.808085,0.796050,2917
1988-02-23,0.808085,0.808085,0.808085,0.808085,0.796050,2917
1988-02-24,null,null,null,null,null,null
1988-02-25,null,null,null,null,null,null
1988-02-26,null,null,null,null,null,null
1988-02-29,null,null,null,null,null,null
1988-03-01,0.737209,0.737209,0.737209,0.737209,0.726229,5834
1988-03-02,null,null,null,null,null,null
1988-03-03,0.808085,0.808085,0.808085,0.808085,0.796050,2917
1988-03-04,null,null,null,null,null,null
1988-03-07,0.737209,0.737209,0.737209,0.737209,0.726229,1458
1988-03-08,null,null,null,null,null,null
1988-03-09,null,null,null,null,null,null
1988-03-10,null,null,null,null,null,null
1988-03-11,null,null,null,null,null,null
1988-03-14,0.751429,0.800983,0.751429,0.751429,0.740237,151695
1988-03-15,0.765545,0.765545,0.751429,0.765545,0.754143,11668
1988-03-16,0.786866,0.786866,0.751429,0.786866,0.775147,45216
1988-03-17,null,null,null,null,null,null
1988-03-18,0.751429,0.808085,0.751429,0.751429,0.740237,21879
1988-03-21,0.751429,0.808085,0.751429,0.751429,0.740237,2917
1988-03-22,null,null,null,null,null,null
1988-03-23,null,null,null,null,null,null
1988-03-24,0.751429,0.786866,0.751429,0.751429,0.740237,53968
1988-03-25,0.751429,0.751429,0.751429,0.751429,0.740237,2917
